"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"http://id.biodiversity.org.au/node/apni/2900052","Schoenus clandestinus","S.T.Blake","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Schoenus",,"",""
"http://id.biodiversity.org.au/node/apni/2903380","Eucalyptus macrandra","F.Muell. ex Benth.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2907344","Corymbia deserticola","(D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Corymbia",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2910554","Dendrophthoe acacioides","(A.Cunn. ex Benth.) Tiegh.","species","Plantae","Charophyta","Equisetopsida","Santalales","Loranthaceae","Dendrophthoe",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2911293","Acacia retivenea","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia","Net-Veined Wattle","Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2911747","Andersonia simplex","(Stschegl.) Druce","species","Plantae","Charophyta","Equisetopsida","Ericales","Ericaceae","Andersonia",,"",""
"http://id.biodiversity.org.au/node/apni/2912004","Heliotropium glabellum","R.Br.","species","Plantae","Charophyta","Equisetopsida",,"Boraginaceae","Heliotropium",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2913241","Rhodanthe spicata","(Steetz) Paul G.Wilson","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Rhodanthe",,"",""
"http://id.biodiversity.org.au/node/apni/2916667","Hibiscus meraukensis","Hochr.","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Hibiscus",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2918798","Ptilotus clementii","(Farmar) Benl","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Ptilotus",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2886970","Calothamnus lateralis","Lindl.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Calothamnus",,"",""
